title
Vybukh
Boryslav smiyetsa
Борислав сміється
Велике горе маленької жінки
Як іноді буває
Остання зустріч
Velyke hore malenkoyi zhinky
Peredzvin
Temne tsarstvo
Темне царство
Передзвін
Nespodivanyy heroy
Митрошка - солдат революції
Несподіваний герой
Mykola Dzheria
Микола Джеря
Навздогін за долею
Navzdohin za doleyu
Дорогою ціною
Свіжий вітер
Закони шторму
Za monastirskoyu bramoyu
За монастирською брамою
Гамбург
Історія однієї втечі
Димівка
Вбивство сількора Малиновського
Dymivka
Поміщик
Сіль
Тарас Шевченко
Наймичка
Як куркуль сільським головою став
Сон Товстопузенка
Lisovyy zvir
Лісовий звір
У пазурях радянської влади
Пригоди фабриканта
В пазурах радвлади
Svyni zavzhdy svyni
Свині завжди свині
Станція Пупки
Сорочинський ярмарок
Apelsyny z Khimvuhillya
Nepevnyy bahazh
Непевний багаж
Pidozrilyy bahazh
Підозрілий багаж
Апельсини з Хімвугілля
Непереможні
Антоніо Терметто
Цемент
В заметах
Завірюха
V zametakh
Безпритульні
Непутящі
Болотяні вогні
Вогняна помста
Чорний бір
Vohnyana pomsta
Ступати заважають
Stupaty zavazhayut
Млин на вузліссі
Димок над кручею
Діти шахтарів
Карл Бруннер
"Тримайся, Карлуша!"
Повість наших днів
Сенько з 'Мімози'
Поєдинок
Вовчий хутір
На крилах пісні
Три кімнати з кухнею
Try kimnaty z kukhneyu
Генеральна репетиція
Heneralna repetytsiya
Чатуй
Сорочинська трагедія
Sorochynska trahediya
Чорні дні
Степові пісні
Пілот і дівчина
Mertva petlya
Мертва петля
"Я, Робот"
Жінці про жінку
Що кожній жінці треба знати
Гігієна дівчини та жінки
Трипільська трагедія
Trypilska trahediya
Бурлачка
Burlachka
Василина
Oberih natsiyi
Seym vykhodyt z berehiv
Складки часу
Пригоди полтинника
Сектор мовчання
Дід Іван з села Річки
Меланчине весілля
"Ой горе, це ж гості до мене"
Відкрий себе
Правда крупним планом
Документи епохи.
Документи доби
Сторінки доби
Прометей
Хто поїде в Трускавець
Подарунок на іменини
Podarunok na imenyny
Nichnyy Viznyk
Kyyivski fresky
Київські фрески
Мова тварин
Справа No 128
Ненаписаний лист
"Історія про дівчинку, яка наступила на хліб"
РокіРовка (сповідь із акваріума)
Веселе курча
Тук-тук і Жук
Як Тук-тук город свій доглядав і з свинею воював
Пригоди Незнайка та його друзів
Son
Сон
Пригода на дачі
Марс-ХХ
Дерево і кішка
Знайоме обличчя
Шкурник
Київська симфонія
Любов та смерть картоплі звичайної
Як їжачок шубку міняв
Високий перевал
Штурмові ночі
Shturmovi nochi
Стожари
Ім'ям революції
Гуси-лебеді летять
Весь світ в очах твоїх...
Ves svit v ochakh tvoyikh...
Руда Фея
Падав іній
Padav iniy
Дивний сад
Dyvnyy sad
Страшна помста
Хліб
Тисяча дев'ятсот двадцятий рік
Щедрий вечір
Vanka i Mesnyk
Ванька і Месник
Я та інші
Валидуб
Мотузочка
Дораемон: Нобіта і Привиди Зла
Provokator
Його кар'єра
Yoho karyera
Провокатор
У павутинні
Людина з лісу
Ludyna z lisu
Tini Belvedera
Тіні Бельведера
Заєць в людях
Shlyakh do sertsya
Шлях до серця
Sekretar partkomu
Секретар парткому
Dovira
Довіра
Sofiya Hrushko
Софія Грушко
Yurkovi svitanky
Юркові світанки
Ridni
Рідні
Лада з країни берендеїв
Lada z krayiny berendeyiv
Мiсiя неможлива: Фолаут
Багряні береги
Важка вода
Кров людська - не водиця
Krov lyudska - ne vodytsya
Острів Вовчий
Ostriv Vovchyy
Григорій Сковорода
Миленький ти мій
Mylenkyy ty miy
Ni y tak
Ні й так
Дума про Британку
Для домашнього вогнища
"Myr khatam, viyna palatsam"
"Мир хатам, війна палацам"
Веселі Жабокричі
Veseli Zhabokrychi
Zoryanyy tsvit
Зоряний цвіт
Іду до тебе...
Тут нам жити
Лаври
Дід лівого крайнього
"Ні пуху, ні пера"
Chas - moskovskyy
Час - московський
Нісенітниця
Nisenitnytsya
Наталка Полтавка
Дударики
Платон мені друг
Дім батька твого
Жменяки
Гори димлять
Тамілла
Поза межами болю
Буйна
Містифікатор
Козаки йдуть
Карпатське золото
Karpatskoye zoloto
"Komu vhoru, komu vnyz"
"Кому вгору, кому вниз"
"Нам дзвони не грали, коли ми вмирали"
"Nam dzvony ne hraly, koly my vmyraly"
Чудо в краю забуття
Martyn Borulya
Мартин Боруля
Сто тисяч
Faraony
Фараони
Безталанна
Не судилось
"Ведмедик і той, що живе в річці"
Чотири нерозлучні таргани та цвіркунець
Страсті-мордасті
Страсті-мордасті · 1
Ордер на арешт
"Ой не ходи, Грицю, та й на вечорниці"
Лисичка з качалкою
Розпатланий горобець
Чому у півня короткі штанці
Довге відлуння
Dovhe vidlunnya
Пісня завжди з нами
Черевички
П.К.П.
Таємниця Дімки Кармія
Єгипетський гусак
Yehypetskyi husak
Shcho tut koitsya ishche?!!
Як посварився Іван Іванович з Іваном Никифоровичем
Алім
Tragedija Cyganskoj Devuski
Tragedija Cyganki
Navkolo svitu mymovoli
Навколо світу мимоволі
Смерть чиновника
Nebuvalyy pokhid
Nechuvanyy pokhid
Нечуваний похід
Небувалий похід
